category_slug,ASIN
womens-minimizer-bras,B0058LXNQO
womens-minimizer-bras,B07F685NJ8
womens-minimizer-bras,B0012M83H2
womens-minimizer-bras,B00EBUXL7Y
womens-minimizer-bras,B0CT2YVKS5
womens-minimizer-bras,B0982Q8453
womens-minimizer-bras,B0B8VT133S
womens-minimizer-bras,B0828Y36C5
womens-minimizer-bras,B097YHBYZC
womens-minimizer-bras,B081TPVBQQ
womens-minimizer-bras,B088KPRGYH
womens-minimizer-bras,B083HY4C26
womens-minimizer-bras,B07VQPN5KQ
womens-minimizer-bras,B099KM4M9P
womens-minimizer-bras,B07MN338K3
womens-minimizer-bras,B06XP7W5BZ
womens-minimizer-bras,B07WGN6T2K
womens-minimizer-bras,B07M8RGFT5
womens-minimizer-bras,B09BJ73M3V
womens-minimizer-bras,B0B8JLTWJD
womens-minimizer-bras,B002LL4RAU
womens-minimizer-bras,B0CMSYPYT7
womens-minimizer-bras,B08TQL41S6
womens-minimizer-bras,B09GB3HM38
womens-minimizer-bras,B08B12S5V5
womens-minimizer-bras,B07CMH9H5P
womens-minimizer-bras,B0CNGYM928
womens-minimizer-bras,B07CSWB6T4
womens-minimizer-bras,B00DPOX334
womens-minimizer-bras,B09FZ2MJQN
womens-minimizer-bras,B07VW5VT72
womens-minimizer-bras,B0B2Z8JLXZ
womens-minimizer-bras,B07ZDXMJ3Q
womens-minimizer-bras,B0C7GSSDCW
womens-minimizer-bras,B09LGKRP6D
womens-minimizer-bras,B0CMCJ499F
womens-minimizer-bras,B099PFQ5Z5
womens-minimizer-bras,B07GP28P7S
womens-minimizer-bras,B0CP1RQMBW
womens-minimizer-bras,B01N7FJYHS
womens-minimizer-bras,B0CMXLXW1V
womens-minimizer-bras,B08KSRSHX8
womens-minimizer-bras,B0CBPGK19X
womens-minimizer-bras,B0CT893SFK
womens-minimizer-bras,B082PV3D1L
womens-minimizer-bras,B076N94WVS
womens-minimizer-bras,B07S2FF833
womens-minimizer-bras,B07SQ37K2X
womens-minimizer-bras,B09CK78J4P
womens-minimizer-bras,B0CB62HNP2
womens-minimizer-bras,B094V9K7ZM
womens-minimizer-bras,B0BKSMVVCB
womens-minimizer-bras,B0007QMMM6
womens-minimizer-bras,B0CCDKVQR5
womens-minimizer-bras,B0014VGKR6
womens-minimizer-bras,B07VLCRGH5
womens-minimizer-bras,B0BYCP2RRK
womens-minimizer-bras,B09B2RPQJK
womens-minimizer-bras,B00DUUITFU
womens-minimizer-bras,B0B5JZZYSL
womens-minimizer-bras,B083FF3YZ1
womens-minimizer-bras,B0C1P4RM53
womens-minimizer-bras,B07G9FCTYS
womens-minimizer-bras,B0C996NTL4
womens-minimizer-bras,B07W5MYZ9L
womens-minimizer-bras,B0CJ3FK8TT
womens-minimizer-bras,B0C9STWG54
womens-minimizer-bras,B0CCF9S8GH
womens-minimizer-bras,B08H1KKZ34
womens-minimizer-bras,B019TQQ0V8
womens-pullover-sweaters,B0C2K8NXCM
womens-pullover-sweaters,B0BLSHX27M
womens-pullover-sweaters,B0CG5YLBWF
womens-pullover-sweaters,B09KRW71M3
womens-pullover-sweaters,B09MTJWY4Y
