category_slug,ASIN
fitted-bed-sheets,B01IE7P2VW
fitted-bed-sheets,B019J3R8EO
fitted-bed-sheets,B07QDB7NXR
fitted-bed-sheets,B083HC7FHR
fitted-bed-sheets,B0758CB6VM
fitted-bed-sheets,B07QFR8Y8V
fitted-bed-sheets,B08965K9KC
fitted-bed-sheets,B07LDVJ2C5
fitted-bed-sheets,B07PM9CH9Z
fitted-bed-sheets,B08L4KB2KM
fitted-bed-sheets,B07LGW5B9C
fitted-bed-sheets,B0BY4915ZY
fitted-bed-sheets,B09CL6P75V
fitted-bed-sheets,B0BV6YVXFY
fitted-bed-sheets,B0872GW9FD
fitted-bed-sheets,B079THCWVY
fitted-bed-sheets,B083PPGG1P
fitted-bed-sheets,B08BG7VL1T
fitted-bed-sheets,B0977FXJJF
fitted-bed-sheets,B0CFDY3DXT
fitted-bed-sheets,B0817PCPL2
fitted-bed-sheets,B09QM612GX
fitted-bed-sheets,B08CVF4KY8
fitted-bed-sheets,B084VV4TL8
fitted-bed-sheets,B01N5C4MP9
fitted-bed-sheets,B08CXGNHPH
fitted-bed-sheets,B0BXSCYSCK
fitted-bed-sheets,B08HRSQFTT
fitted-bed-sheets,B07BHPXVM2
fitted-bed-sheets,B09NM291VL
fitted-bed-sheets,B008CMYGHQ
fitted-bed-sheets,B09ZKLHNVG
fitted-bed-sheets,B09M6ZVPRX
fitted-bed-sheets,B091N5HJN7
fitted-bed-sheets,B09GV9HTJP
fitted-bed-sheets,B0CCVFDCG9
fitted-bed-sheets,B0CCXXVTFR
fitted-bed-sheets,B07XKJDBBF
fitted-bed-sheets,B01M5BKSJX
fitted-bed-sheets,B072BQV256
fitted-bed-sheets,B08V22JHMN
fitted-bed-sheets,B0953XZ9H8
fitted-bed-sheets,B08746DHCT
fitted-bed-sheets,B0BYYRRDRM
fitted-bed-sheets,B0CJ68SJPW
fitted-bed-sheets,B09PBK27RJ
fitted-bed-sheets,B0B6PFSHK9
fitted-bed-sheets,B099NFF6B4
fitted-bed-sheets,B0BW3Y6YM2
fitted-bed-sheets,B09WH4B2BD
fitted-bed-sheets,B0C5FD88NF
fitted-bed-sheets,B0BFB5ZF94
fitted-bed-sheets,B08FDVCW1J
fitted-bed-sheets,B0C7LGWZ6D
fitted-bed-sheets,B08H58WFRQ
fitted-bed-sheets,B09S9R6ZQS
fitted-bed-sheets,B08QF3G772
fitted-bed-sheets,B0B3HWYSMK
fitted-bed-sheets,B075QCCYMN
