category_slug,ASIN
carpet-upholstery-cleaning-machines,B0016HF5GK
carpet-upholstery-cleaning-machines,B088J68TRL
carpet-upholstery-cleaning-machines,B0986VT2PP
carpet-upholstery-cleaning-machines,B0CBSZR9NF
carpet-upholstery-cleaning-machines,B009ZJ2M7G
carpet-upholstery-cleaning-machines,B0CD9JV7PB
carpet-upholstery-cleaning-machines,B0C9H1ZRH4
carpet-upholstery-cleaning-machines,B078YZ586K
carpet-upholstery-cleaning-machines,B098JYFGWS
carpet-upholstery-cleaning-machines,B0000DF0RB
carpet-upholstery-cleaning-machines,B0B2BMHMC2
carpet-upholstery-cleaning-machines,B0BZDT4LSX
carpet-upholstery-cleaning-machines,B07DTKXTXV
carpet-upholstery-cleaning-machines,B0B94P5LDK
carpet-upholstery-cleaning-machines,B0C9V4L32W
carpet-upholstery-cleaning-machines,B0BFHH14V9
carpet-upholstery-cleaning-machines,B07QCW1MZX
carpet-upholstery-cleaning-machines,B09XFH7B5S
carpet-upholstery-cleaning-machines,B09NMZ1P31
carpet-upholstery-cleaning-machines,B0BCQYB4Z1
carpet-upholstery-cleaning-machines,B0BP8GCN87
carpet-upholstery-cleaning-machines,B0CMQNZW5Z
carpet-upholstery-cleaning-machines,B00450U6CS
carpet-upholstery-cleaning-machines,B09V5TN8NJ
carpet-upholstery-cleaning-machines,B085WP2N4Q
carpet-upholstery-cleaning-machines,B0B1TB2DLJ
carpet-upholstery-cleaning-machines,B0C3V9N56S
carpet-upholstery-cleaning-machines,B00Q7WYLI2
carpet-upholstery-cleaning-machines,B0CHYC47C2
carpet-upholstery-cleaning-machines,B098BTLF1H
carpet-upholstery-cleaning-machines,B00667H8CE
carpet-upholstery-cleaning-machines,B0CRRWCSR4
carpet-upholstery-cleaning-machines,B0BPX24F4W
carpet-upholstery-cleaning-machines,B0CTHKQB8W
carpet-upholstery-cleaning-machines,B0973FQX1T
carpet-upholstery-cleaning-machines,B094Y1HCYK
carpet-upholstery-cleaning-machines,B0BLVC5RMH
carpet-upholstery-cleaning-machines,B0756Z535B
carpet-upholstery-cleaning-machines,B0CNCV8ZWQ
carpet-upholstery-cleaning-machines,B0D493JNLF
carpet-upholstery-cleaning-machines,B086BBB42D
carpet-upholstery-cleaning-machines,B0CBB6G3KS
carpet-upholstery-cleaning-machines,B0BRQRKY31
carpet-upholstery-cleaning-machines,B0944YSXP3
carpet-upholstery-cleaning-machines,B086T5FFZW
