category_slug,ASIN
shower-caddies,B0BLSCY6PR
shower-caddies,B09MFDXZHJ
shower-caddies,B0C49CL45M
shower-caddies,B09QCC6FZL
shower-caddies,B07425J51T
shower-caddies,B0CCP1968N
shower-caddies,B0B81LSL6Q
shower-caddies,B07X6WCR76
shower-caddies,B09NBFH36P
shower-caddies,B08L8Z4F2Q
shower-caddies,B00XKFO4W2
shower-caddies,B07KWXWKJX
shower-caddies,B009GPU3CU
shower-caddies,B000QE3DR2
shower-caddies,B00FFE0CT0
shower-caddies,B071WMZ72R
shower-caddies,B0BQJ96RJY
shower-caddies,B07PFK126W
shower-caddies,B07GRGR4CK
shower-caddies,B0B1H28L1P
shower-caddies,B0CNC3S6VB
shower-caddies,B0B9S97J6Z
shower-caddies,B0CRY98FG1
shower-caddies,B09NRNVMZ4
shower-caddies,B0868XV62V
shower-caddies,B07MTVD1ZG
shower-caddies,B09GVJBW2Q
shower-caddies,B0CPHLXRNR
shower-caddies,B0B4WFJ2CZ
shower-caddies,B0CBTYF3MF
shower-caddies,B0C89ML5VQ
shower-caddies,B00MGB4YRQ
shower-caddies,B0CMJ8H7ZD
shower-caddies,B07XLLLFBB
shower-caddies,B09PBHZVYQ
shower-caddies,B09TTM2N5B
shower-caddies,B0828DJ2HD
shower-caddies,B0C9ZD3YHL
shower-caddies,B0CPCWLGTN
shower-caddies,B0CCYJ6X6R
shower-caddies,B08CG52Q2Y
shower-caddies,B0B914ZFCY
shower-caddies,B0C5WR7RP7
shower-caddies,B0CPPVH7KF
shower-caddies,B0CGHVZ3FN
shower-caddies,B08TMK8H35
shower-caddies,B07QMTLG6R
shower-caddies,B0CN1G6D9N
shower-caddies,B0C1G78CY2
shower-caddies,B0C77Q7X3M
shower-caddies,B09GPDZYZD
shower-caddies,B0CT7C6CTH
shower-caddies,B0CXT9YZ24
shower-caddies,B0CRL16CR6
shower-caddies,B0BVQ65WXT
shower-caddies,B07YV5FW9W
shower-caddies,B0CBRLDV12
shower-caddies,B0CNN6V6W7
shower-caddies,B0C6Q1L49X
shower-caddies,B09KV98YQT
shower-caddies,B07MGGLVCD
shower-caddies,B0BQPSRLH5
shower-caddies,B06Y2HWB4S
shower-caddies,B0CM3D318P
